destination,forecast_date,daily_avg_temp_c,daily_min_temp_c,daily_max_temp_c,daily_avg_humidity_pct,daily_avg_cloudiness_pct,daily_avg_wind_speed_mps,daily_max_wind_speed_mps,most_common_description
"Edinburgh, United Kingdom",2026-06-26,13.545,13.31,13.78,87.0,100.0,3.915,4.48,light rain
"Edinburgh, United Kingdom",2026-06-27,17.81875,12.46,21.48,81.625,78.75,4.65125,7.65,overcast clouds
"Edinburgh, United Kingdom",2026-06-28,17.03125,13.78,18.64,71.0,54.5,5.2162500000000005,7.13,clear sky
"Edinburgh, United Kingdom",2026-06-29,14.42875,9.9,17.9,72.5,59.75,4.61375,5.94,overcast clouds
"Edinburgh, United Kingdom",2026-06-30,15.8525,12.94,19.86,72.375,82.5,3.565,4.72,overcast clouds
"Edinburgh, United Kingdom",2026-07-01,14.545,13.2,15.62,89.0,100.0,5.506666666666667,8.94,light rain
"Hurghada, Egypt",2026-06-26,31.919999999999998,31.61,32.23,29.5,0.0,7.775,8.57,clear sky
"Hurghada, Egypt",2026-06-27,31.08875,28.02,33.62,31.375,0.0,8.17,10.65,clear sky
"Hurghada, Egypt",2026-06-28,31.166249999999998,26.8,33.48,31.75,0.0,5.87875,8.49,clear sky
"Hurghada, Egypt",2026-06-29,31.8125,26.87,34.4,32.875,0.0,6.45125,8.72,clear sky
"Hurghada, Egypt",2026-06-30,32.49875,27.66,34.36,31.875,0.0,8.365,11.53,clear sky
"Hurghada, Egypt",2026-07-01,32.355,28.27,34.99,31.5,0.0,9.168333333333333,10.31,clear sky
"Cabo San Lucas, Mexico",2026-06-26,27.96,27.92,28.0,63.0,21.5,3.63,3.75,few clouds
"Cabo San Lucas, Mexico",2026-06-27,26.475,24.65,28.39,53.875,4.875,5.32125,6.79,clear sky
"Cabo San Lucas, Mexico",2026-06-28,26.4725,24.45,28.79,50.75,11.25,6.6225000000000005,8.06,clear sky
"Cabo San Lucas, Mexico",2026-06-29,25.90875,23.25,28.36,59.375,6.125,6.64875,7.23,clear sky
"Cabo San Lucas, Mexico",2026-06-30,25.9925,24.22,28.49,60.625,1.875,6.47375,7.58,clear sky
"Cabo San Lucas, Mexico",2026-07-01,25.345,23.98,27.09,58.5,5.166666666666667,6.425,7.51,clear sky
"Maldives, Maldives",2026-06-26,28.57,28.46,28.68,73.5,100.0,7.105,7.18,light rain
"Maldives, Maldives",2026-06-27,28.13,27.92,28.25,77.75,95.5,7.0287500000000005,8.15,light rain
"Maldives, Maldives",2026-06-28,27.09375,26.07,28.01,78.875,99.5,6.2425,7.57,light rain
"Maldives, Maldives",2026-06-29,28.03375,27.53,28.46,73.625,98.0,5.71,6.34,overcast clouds
"Maldives, Maldives",2026-06-30,28.22875,28.02,28.33,74.625,80.375,4.6725,5.24,overcast clouds
"Maldives, Maldives",2026-07-01,28.17833333333333,27.98,28.31,75.66666666666667,81.0,5.208333333333333,5.57,overcast clouds
"New Delhi, India",2026-06-26,39.269999999999996,38.66,39.88,26.0,23.5,3.33,3.49,light rain
"New Delhi, India",2026-06-27,40.526250000000005,37.1,44.04,24.5,29.875,3.9,4.85,clear sky
"New Delhi, India",2026-06-28,39.63375,37.69,44.95,26.75,60.0,4.63,5.76,light rain
"New Delhi, India",2026-06-29,39.64125,36.25,42.72,24.625,12.25,5.577500000000001,5.99,clear sky
"New Delhi, India",2026-06-30,39.67,35.85,42.97,25.625,49.875,5.68875,6.29,scattered clouds
"New Delhi, India",2026-07-01,39.73,37.01,42.29,27.5,86.83333333333333,3.926666666666667,5.04,overcast clouds
"Budapest, Hungary",2026-06-26,32.435,30.56,34.31,28.0,0.0,0.8500000000000001,0.89,clear sky
"Budapest, Hungary",2026-06-27,30.244999999999997,19.09,35.95,30.375,6.5,2.2375,4.15,clear sky
"Budapest, Hungary",2026-06-28,31.71125,19.82,39.83,31.5,4.625,2.2375,4.81,clear sky
"Budapest, Hungary",2026-06-29,33.33375,26.83,40.88,31.5,29.75,1.475,3.27,few clouds
"Budapest, Hungary",2026-06-30,31.25875,25.51,39.96,40.125,46.75,2.5012499999999998,6.01,few clouds
"Budapest, Hungary",2026-07-01,26.863333333333333,23.17,31.59,56.333333333333336,99.5,3.8850000000000002,5.04,overcast clouds
"Seoul, South Korea",2026-06-26,22.35,21.73,22.97,62.0,100.0,1.17,1.34,overcast clouds
"Seoul, South Korea",2026-06-27,27.01875,22.69,32.55,47.125,71.125,1.5175,4.04,overcast clouds
"Seoul, South Korea",2026-06-28,26.49125,22.28,31.45,46.875,53.75,2.28625,5.47,broken clouds
"Seoul, South Korea",2026-06-29,27.74375,23.38,33.26,45.0,68.625,1.4575,4.41,overcast clouds
"Seoul, South Korea",2026-06-30,28.1025,23.26,33.68,33.375,48.375,1.75625,3.95,broken clouds
"Seoul, South Korea",2026-07-01,30.189999999999998,26.96,34.04,39.666666666666664,58.0,2.0416666666666665,4.18,scattered clouds
"Abu Dhabi, United Arab Emirates",2026-06-26,32.405,32.28,32.53,65.0,0.0,1.835,2.72,clear sky
"Abu Dhabi, United Arab Emirates",2026-06-27,31.92375,30.86,32.82,57.625,0.0,3.12,5.2,clear sky
"Abu Dhabi, United Arab Emirates",2026-06-28,32.1525,31.22,32.85,63.5,0.0,4.4125,7.65,clear sky
"Abu Dhabi, United Arab Emirates",2026-06-29,32.87125,31.9,34.31,65.5,0.0,3.63125,5.39,clear sky
"Abu Dhabi, United Arab Emirates",2026-06-30,32.565,31.89,33.21,71.0,7.125,4.14875,5.79,clear sky
"Abu Dhabi, United Arab Emirates",2026-07-01,32.330000000000005,31.75,32.81,67.5,5.333333333333333,3.405,5.16,clear sky
